epoch,train_loss,val_loss,val_auc
1,0.7179255914688111,0.730114758014679,
2,0.6882749891281128,0.7095295786857605,
3,0.6438051795959473,0.6843969225883484,
4,0.6223480033874512,0.6605055332183838,
5,0.5877986478805542,0.6357885599136353,
6,0.5680774831771851,0.6091822981834412,
7,0.5320914602279663,0.5834352970123291,
8,0.5087445604801178,0.5613856315612793,
9,0.4850861358642578,0.5350131392478943,
10,0.4631247687339783,0.5137726068496704,
11,0.4350389087200165,0.49511054158210754,
12,0.41720826029777525,0.47550705075263977,
13,0.39779729962348936,0.4557037651538849,
14,0.37783077239990237,0.44253912568092346,
15,0.355676234960556,0.42290905117988586,
