epoch,train_loss,val_loss,val_auc
1,0.7141170525550842,0.6712298202514648,0.6422857142857142
2,0.6194165325164795,0.5987346243858337,0.6838857142857143
3,0.542930760383606,0.5375431156158448,0.6914285714285714
4,0.48744089603424073,0.4952228903770447,0.6998857142857143
5,0.4336405646800995,0.4607996344566345,0.7058285714285715
6,0.39603261232376097,0.43507022976875304,0.7197714285714286
7,0.3493049168586731,0.41263373613357546,0.7318857142857143
8,0.32558632612228394,0.3999008655548096,0.7410285714285714
9,0.30266611695289614,0.3827214241027832,0.7428571428571429
10,0.29078096508979795,0.37509994745254516,0.7344
11,0.2641308009624481,0.3652641069889069,0.7465142857142857
12,0.24752762496471406,0.35438657164573667,0.7453714285714286
13,0.22983407497406005,0.34219911575317385,0.7364571428571429
14,0.21745954990386962,0.33837644636631015,0.7273142857142858
15,0.19987729012966157,0.33460902512073515,0.7273142857142858
